Designator;Mid X;Mid Y;Layer;Rotation
C1;41.893500mm;-30.226000mm;top;0
C2;38.481000mm;-30.226000mm;top;90
C3;41.893500mm;-27.876500mm;top;0
C4;38.481000mm;-27.841000mm;top;90
Q1;48.069500mm;-36.576000mm;top;90
Q2;44.259500mm;-36.576000mm;top;90
R1;53.149500mm;-32.385000mm;top;0
R2;39.243000mm;-32.385000mm;top;0
R3;40.523500mm;-25.651000mm;top;0
R4;43.308500mm;-25.651000mm;top;0
R5;47.244000mm;-38.989000mm;top;0
R6;45.083000mm;-38.989000mm;top;0
R7;48.060000mm;-34.110000mm;top;0
R8;44.340000mm;-34.110000mm;top;0
SW1;53.149500mm;-37.084mm;top;90
SW2;39.243000mm;-37.084mm;top;90
U1;50.800000mm;-27.94mm;top;180